Country,Last,Previous,Reference,Unit
South Africa,5121,5575,20-Dec,USD
South Korea,31265,31611,20-Dec,USD
Spain,24935,28091,20-Dec,USD
Sri Lanka,4053,4225,20-Dec,USD
St Kitts and Nevis,16400,18499,20-Dec,USD
St Lucia,8828,11114,20-Dec,USD
St Vincent and the Grenadines,6654,6863,20-Dec,USD
Sudan,1940,2018,20-Dec,USD
Suriname,7656,9035,20-Dec,USD
Swaziland,3719,3820,20-Dec,USD
Sweden,51621,53490,20-Dec,USD
Switzerland,85682,88413,20-Dec,USD
Tajikistan,1199,1174,20-Dec,USD
Tanzania,976,985,20-Dec,USD
Thailand,6199,6618,20-Dec,USD
Togo,627,631,20-Dec,USD
Trinidad and Tobago,14876,16192,20-Dec,USD
Tunisia,3574,3952,20-Dec,USD
Turkey,12035,11956,20-Dec,USD
Turkmenistan,7693,7349,19-Dec,USD
Uganda,894,898,20-Dec,USD
Ukraine,3116,3225,20-Dec,USD
United Arab Emirates,4029,4134,20-Dec,USD
United Kingdom,41811,46612,20-Dec,USD
United States,58510,60837,20-Dec,USD
Uruguay,15045,16036,20-Dec,USD
Uzbekistan,3005,3014,20-Dec,USD
Vanuatu,2554,2882,20-Dec,USD
Venezuela,14025,14722,14-Dec,USD
Vietnam,2656,2604,20-Dec,USD
West Bank and Gaza,2549,2549,20-Dec,
Yemen,632,1291,19-Dec,USD
Zambia,1271,1349,20-Dec,USD
Zimbabwe,1240,1368,20-Dec,USD
