user_loc,fr_loc,scaled_sci
UKR1,CHL10,23
UKR1,CHL11,21
UKR1,CHL12,12
UKR1,CHL13,18
UKR1,CHL14,13
UKR1,CHL15,18
UKR1,CHL2,14
UKR1,CHL3,13
UKR1,CHL4,17
UKR1,CHL5,11
UKR1,CHL6,12
UKR1,CHL7,15
UKR1,CHL8,15
UKR1,CHL9,13
UKR1,CIV1,94
UKR1,CIV10,126
UKR1,CIV11,78
UKR1,CIV12,66
UKR1,CIV13,87
UKR1,CIV14,76
UKR1,CIV2,129
UKR1,CIV3,67
UKR1,CIV4,86
UKR1,CIV5,73
UKR1,CIV6,77
UKR1,CIV7,87
UKR1,CIV8,63
UKR1,CIV9,101
UKR1,CMR1,21
UKR1,CMR10,49
UKR1,CMR2,53
UKR1,CMR3,29
UKR1,CMR4,28
UKR1,CMR5,42
UKR1,CMR6,52
UKR1,CMR7,21
UKR1,CMR8,22
UKR1,CMR9,80
UKR1,COD1,30
UKR1,COD2,25
UKR1,COD3,20
UKR1,COD4,19
UKR1,COD5,10
UKR1,COD6,27
UKR1,COD7,31
UKR1,COD8,23
UKR1,COD9,26
UKR1,COG1,51
UKR1,COG10,56
UKR1,COG11,126
UKR1,COG12,61
UKR1,COG2,87
UKR1,COG3,1
UKR1,COG4,123
UKR1,COG5,80
UKR1,COG6,71
UKR1,COG7,43
UKR1,COG8,40
UKR1,COG9,16
UKR1,COL1,12
UKR1,COL10,10
UKR1,COL11,10
UKR1,COL12,10
UKR1,COL13,9
UKR1,COL14,17
UKR1,COL15,14
UKR1,COL16,11
UKR1,COL17,12
UKR1,COL18,11
UKR1,COL19,11
UKR1,COL2,15
UKR1,COL20,13
UKR1,COL21,13
UKR1,COL22,13
UKR1,COL23,10
UKR1,COL24,16
UKR1,COL25,14
UKR1,COL26,16
UKR1,COL27,13
UKR1,COL28,9
UKR1,COL29,13
UKR1,COL3,11
UKR1,COL30,15
UKR1,COL31,4
UKR1,COL32,18
UKR1,COL4,10
UKR1,COL5,11
UKR1,COL6,12
UKR1,COL7,10
UKR1,COL8,14
UKR1,COL9,10
UKR1,COM,9
UKR1,CPV,18
UKR1,CRI1,17
UKR1,CRI2,14
UKR1,CRI3,23
UKR1,CRI4,20
UKR1,CRI5,17
UKR1,CRI6,20
UKR1,CRI7,21
UKR1,CUW,18
UKR1,CY00,566
UKR1,CYM,23
UKR1,CZ01,3000
UKR1,CZ02,2478
UKR1,CZ03,2508
UKR1,CZ04,1150
UKR1,CZ05,1757
UKR1,CZ06,1332
UKR1,CZ07,586
UKR1,CZ08,365
UKR1,DE11,280
UKR1,DE12,308
UKR1,DE13,299
UKR1,DE14,209
UKR1,DE21,281
UKR1,DE22,172
UKR1,DE23,252
UKR1,DE24,240
UKR1,DE25,325
UKR1,DE26,263
UKR1,DE27,238
UKR1,DE30,513
UKR1,DE40,238
UKR1,DE50,319
UKR1,DE60,457
UKR1,DE71,267
UKR1,DE72,225
UKR1,DE73,248
UKR1,DE80,315
UKR1,DE91,178
UKR1,DE92,276
UKR1,DE93,221
UKR1,DE94,252
UKR1,DEA1,217
UKR1,DEA2,224
UKR1,DEA3,157
UKR1,DEA4,307
UKR1,DEA5,175
UKR1,DEB1,217
UKR1,DEB2,209
UKR1,DEB3,196
UKR1,DEC0,204
UKR1,DED2,195
UKR1,DED4,242
UKR1,DED5,297
UKR1,DEE0,235
UKR1,DEF0,229
UKR1,DEG0,294
UKR1,DJI,14
UKR1,DK01,128
UKR1,DK02,452
UKR1,DK03,1384
UKR1,DK04,1634
UKR1,DK05,1584
UKR1,DMA,35
UKR1,DOM1,32
UKR1,DOM10,16
UKR1,DOM11,83
UKR1,DOM12,36
UKR1,DOM13,39
UKR1,DOM14,27
UKR1,DOM15,35
UKR1,DOM16,33
UKR1,DOM17,32
UKR1,DOM18,29
UKR1,DOM19,25
UKR1,DOM2,25
UKR1,DOM20,31
UKR1,DOM21,62
UKR1,DOM22,25
UKR1,DOM23,17
UKR1,DOM24,132
UKR1,DOM25,40
UKR1,DOM26,36
UKR1,DOM27,35
UKR1,DOM28,38
UKR1,DOM29,19
UKR1,DOM3,37
UKR1,DOM30,28
UKR1,DOM31,35
UKR1,DOM32,34
UKR1,DOM4,29
UKR1,DOM5,30
UKR1,DOM6,20
UKR1,DOM7,44
UKR1,DOM8,25
UKR1,DOM9,56
UKR1,DZA1,107
UKR1,DZA10,101
UKR1,DZA11,128
UKR1,DZA12,121
UKR1,DZA13,110
UKR1,DZA14,263
UKR1,DZA15,138
UKR1,DZA16,89
UKR1,DZA17,67
UKR1,DZA18,57
UKR1,DZA19,127
UKR1,DZA2,129
UKR1,DZA20,70
UKR1,DZA21,108
UKR1,DZA22,76
UKR1,DZA23,153
UKR1,DZA24,143
UKR1,DZA25,88
UKR1,DZA26,106
UKR1,DZA27,84
UKR1,DZA28,141
UKR1,DZA29,119
UKR1,DZA3,48
UKR1,DZA30,118
UKR1,DZA31,80
UKR1,DZA32,122
UKR1,DZA33,72
UKR1,DZA34,179
UKR1,DZA35,190
UKR1,DZA36,105
UKR1,DZA37,150
UKR1,DZA38,142
UKR1,DZA39,119
UKR1,DZA4,94
UKR1,DZA40,112
UKR1,DZA41,140
UKR1,DZA42,45
UKR1,DZA43,184
UKR1,DZA44,99
UKR1,DZA45,100
UKR1,DZA46,136
UKR1,DZA47,148
UKR1,DZA48,139
UKR1,DZA5,104
UKR1,DZA6,99
UKR1,DZA7,101
UKR1,DZA8,122
UKR1,DZA9,112
UKR1,ECU1,16
UKR1,ECU10,15
UKR1,ECU11,17
UKR1,ECU12,12
UKR1,ECU13,13
UKR1,ECU14,12
UKR1,ECU15,19
UKR1,ECU16,76
UKR1,ECU17,22
UKR1,ECU18,20
UKR1,ECU19,21
UKR1,ECU2,13
UKR1,ECU20,17
UKR1,ECU21,12
UKR1,ECU22,19
UKR1,ECU23,16
UKR1,ECU24,16
UKR1,ECU3,8
UKR1,ECU4,11
UKR1,ECU5,10
UKR1,ECU6,18
UKR1,ECU7,17
UKR1,ECU8,14
UKR1,ECU9,18
UKR1,EE00,3576
UKR1,EGY1,41
UKR1,EGY10,61
UKR1,EGY11,74
UKR1,EGY12,46
UKR1,EGY13,161
UKR1,EGY14,48
UKR1,EGY15,68
UKR1,EGY16,52
UKR1,EGY17,41
UKR1,EGY18,45
UKR1,EGY19,54
UKR1,EGY2,934
UKR1,EGY20,69
UKR1,EGY21,45
UKR1,EGY22,1737
UKR1,EGY23,43
UKR1,EGY24,58
UKR1,EGY25,59
UKR1,EGY26,33
UKR1,EGY27,45
UKR1,EGY3,61
UKR1,EGY4,50
UKR1,EGY5,52
UKR1,EGY6,64
UKR1,EGY7,68
UKR1,EGY8,57
UKR1,EGY9,41
UKR1,EL30,159
UKR1,EL41,122
UKR1,EL42,289
UKR1,EL43,150
UKR1,EL51,129
UKR1,EL52,130
UKR1,EL53,85
UKR1,EL54,71
UKR1,EL61,74
UKR1,EL62,166
UKR1,EL63,97
UKR1,EL64,110
UKR1,EL65,146
UKR1,ERI1,3
UKR1,ERI3,1
UKR1,ERI4,23
UKR1,ERI5,1
UKR1,ERI6,1
UKR1,ES11,52
UKR1,ES12,99
UKR1,ES13,281
UKR1,ES21,254
UKR1,ES22,162
UKR1,ES23,103
UKR1,ES24,105
UKR1,ES30,158
UKR1,ES41,67
UKR1,ES42,89
UKR1,ES43,25
UKR1,ES51,165
UKR1,ES52,259
UKR1,ES53,159
UKR1,ES61,131
UKR1,ES62,120
UKR1,ES63,22
UKR1,ES64,22
UKR1,ES70,69
UKR1,ETH1,22
UKR1,ETH10,15
UKR1,ETH11,10
UKR1,ETH2,17
UKR1,ETH3,18
UKR1,ETH4,22
UKR1,ETH5,19
UKR1,ETH6,65
UKR1,ETH7,31
UKR1,ETH8,16
UKR1,ETH9,13
UKR1,FI19,1378
UKR1,FI1B,579
UKR1,FI1C,2238
UKR1,FI1D,825
UKR1,FI20,1036
UKR1,FJI,10
UKR1,FR10,108
UKR1,FRB0,81
UKR1,FRC1,56
UKR1,FRC2,74
UKR1,FRD1,43
UKR1,FRD2,40
UKR1,FRE1,39
UKR1,FRE2,34
UKR1,FRF1,81
UKR1,FRF2,53
UKR1,FRF3,53
UKR1,FRG0,41
UKR1,FRH0,49
UKR1,FRI1,50
UKR1,FRI2,56
UKR1,FRI3,34
UKR1,FRJ1,59
UKR1,FRJ2,47
UKR1,FRK1,44
UKR1,FRK2,57
UKR1,FRL0,106
UKR1,FRM0,114
UKR1,FRO,22
UKR1,FRY1,10
UKR1,FRY2,14
UKR1,FRY3,13
UKR1,FRY4,11
UKR1,FRY5,7
UKR1,FSM,5
UKR1,GAB1,61
UKR1,GAB2,38
UKR1,GAB3,64
UKR1,GAB4,27
UKR1,GAB5,39
UKR1,GAB6,46
UKR1,GAB7,14
UKR1,GAB8,48
UKR1,GAB9,48
UKR1,GEO1,1175
UKR1,GEO10,440
UKR1,GEO11,338
UKR1,GEO12,694
UKR1,GEO2,1052
UKR1,GEO3,822
UKR1,GEO4,476
UKR1,GEO5,526
UKR1,GEO6,966
UKR1,GEO7,763
UKR1,GEO8,282
UKR1,GEO9,854
UKR1,GHA1,96
UKR1,GHA10,72
UKR1,GHA2,71
UKR1,GHA3,99
UKR1,GHA4,76
UKR1,GHA5,102
UKR1,GHA6,76
UKR1,GHA7,34
UKR1,GHA8,36
UKR1,GHA9,53
UKR1,GIB,45
UKR1,GIN1,74
UKR1,GIN2,73
UKR1,GIN3,34
UKR1,GIN4,38
UKR1,GIN5,85
UKR1,GIN6,65
UKR1,GIN7,43
UKR1,GIN8,69
UKR1,GMB1,215
UKR1,GMB2,342
UKR1,GMB3,273
UKR1,GMB4,156
UKR1,GMB5,137
UKR1,GMB6,289
UKR1,GNB1,25
UKR1,GNB2,27
UKR1,GNB3,35
UKR1,GNB4,278
UKR1,GNB5,23
UKR1,GNB6,102
UKR1,GNB7,17
UKR1,GNB8,23
UKR1,GNB9,49
UKR1,GNQ2,44
UKR1,GNQ3,146
UKR1,GNQ4,1
UKR1,GNQ5,189
UKR1,GNQ6,73
UKR1,GNQ7,32
UKR1,GRD,22
UKR1,GRL,10
UKR1,GTM1,6
UKR1,GTM10,8
UKR1,GTM11,5
UKR1,GTM12,8
UKR1,GTM13,10
UKR1,GTM14,7
UKR1,GTM15,4
UKR1,GTM16,16
UKR1,GTM17,7
UKR1,GTM18,7
UKR1,GTM19,9
UKR1,GTM2,6
UKR1,GTM20,8
UKR1,GTM21,9
UKR1,GTM22,9
UKR1,GTM3,7
UKR1,GTM4,9
UKR1,GTM5,6
UKR1,GTM6,8
UKR1,GTM7,10
UKR1,GTM8,10
UKR1,GTM9,16
UKR1,GUM,12
UKR1,GUY,16
UKR1,HKG1,12
UKR1,HKG10,16
UKR1,HKG11,30
UKR1,HKG12,12
UKR1,HKG13,16
UKR1,HKG14,13
UKR1,HKG15,9
UKR1,HKG16,18
UKR1,HKG17,16
UKR1,HKG18,19
UKR1,HKG2,18
UKR1,HKG3,21
UKR1,HKG4,19
UKR1,HKG5,13
UKR1,HKG6,16
UKR1,HKG7,7
UKR1,HKG8,18
UKR1,HKG9,17
UKR1,HND1,15
UKR1,HND10,6
UKR1,HND11,20
UKR1,HND12,12
UKR1,HND13,9
UKR1,HND14,15
UKR1,HND15,8
UKR1,HND16,12
UKR1,HND17,9
UKR1,HND18,12
UKR1,HND2,11
UKR1,HND3,9
UKR1,HND4,10
UKR1,HND5,26
UKR1,HND6,12
UKR1,HND7,9
UKR1,HND8,13
UKR1,HND9,29
UKR1,HR03,157
UKR1,HR04,123
UKR1,HTI1,23
UKR1,HTI10,13
UKR1,HTI2,11
UKR1,HTI3,15
UKR1,HTI4,12
UKR1,HTI5,11
UKR1,HTI6,12
UKR1,HTI7,16
UKR1,HTI8,19
UKR1,HTI9,16
UKR1,HU11,392
UKR1,HU12,208
UKR1,HU21,489
UKR1,HU22,452
UKR1,HU23,112
UKR1,HU31,284
UKR1,HU32,160
UKR1,HU33,85
UKR1,IDN1,8
UKR1,IDN10,9
UKR1,IDN11,10
UKR1,IDN12,10
UKR1,IDN13,10
UKR1,IDN14,7
UKR1,IDN15,8
UKR1,IDN16,8
UKR1,IDN17,8
UKR1,IDN18,14
UKR1,IDN19,7
UKR1,IDN2,71
UKR1,IDN20,6
UKR1,IDN21,7
UKR1,IDN22,9
UKR1,IDN23,9
UKR1,IDN24,11
UKR1,IDN25,7
UKR1,IDN26,7
UKR1,IDN27,7
UKR1,IDN28,6
UKR1,IDN29,7
UKR1,IDN3,19
UKR1,IDN30,10
UKR1,IDN31,9
UKR1,IDN32,7
UKR1,IDN33,7
UKR1,IDN34,16
UKR1,IDN4,8
UKR1,IDN5,7
UKR1,IDN6,5
UKR1,IDN7,10
UKR1,IDN8,16
UKR1,IDN9,8
UKR1,IE04,151
UKR1,IE05,124
UKR1,IE06,142
UKR1,IMN,25
UKR1,IND1,16
UKR1,IND10,55
UKR1,IND11,12
UKR1,IND12,17
UKR1,IND13,14
UKR1,IND15,7
UKR1,IND16,8
UKR1,IND17,9
UKR1,IND18,21
UKR1,IND19,8
UKR1,IND2,6
UKR1,IND20,10
UKR1,IND21,8
UKR1,IND22,7
UKR1,IND23,6
UKR1,IND24,9
UKR1,IND25,20
UKR1,IND26,7
UKR1,IND27,7
UKR1,IND28,22
UKR1,IND29,12
UKR1,IND3,6
UKR1,IND30,8
UKR1,IND31,8
UKR1,IND32,7
UKR1,IND33,8
UKR1,IND34,11
UKR1,IND35,15
UKR1,IND36,11
UKR1,IND4,10
UKR1,IND5,10
UKR1,IND6,21
UKR1,IND7,6
UKR1,IND8,10
UKR1,IND9,8
UKR1,IS00,239
UKR1,ITC1,231
UKR1,ITC2,127
UKR1,ITC3,382
UKR1,ITC4,347
UKR1,ITF1,391
UKR1,ITF2,205
UKR1,ITF3,542
UKR1,ITF4,99
UKR1,ITF5,241
UKR1,ITF6,392
UKR1,ITG1,116
UKR1,ITG2,200
UKR1,ITH1,270
UKR1,ITH2,645
UKR1,ITH3,292
UKR1,ITH4,251
UKR1,ITH5,562
UKR1,ITI1,217
UKR1,ITI2,447
UKR1,ITI3,262
UKR1,ITI4,289
UKR1,JAM1,15
UKR1,JAM10,19
UKR1,JAM11,20
UKR1,JAM12,16
UKR1,JAM13,53
UKR1,JAM14,24
UKR1,JAM2,26
UKR1,JAM3,9
UKR1,JAM4,15
UKR1,JAM5,28
UKR1,JAM6,19
UKR1,JAM7,22
UKR1,JAM8,17
UKR1,JAM9,17
UKR1,JOR1,32
UKR1,JOR10,28
UKR1,JOR11,33
UKR1,JOR12,38
UKR1,JOR2,54
UKR1,JOR3,94
UKR1,JOR4,102
UKR1,JOR5,54
UKR1,JOR6,25
