Model_BN_1,Model_BN_2,Model_BN_3,Model_BN_4,Model_BN_5,Poland,Slovakia,Hungary,Romania,Belarus,Moldova,Russia,Europe,daics
0,0,0,0,0,-0.734960416626173,1.1008694652409,0.467562934973254,-0.0380963335019714,30.9578650065915,14.941280073066,0.0907399258096449,-0.443196638400972,29.82
1,0,0,0,0,-0.719884429088758,1.12152408076995,0.431492216768153,-0.124559584423143,33.7407128021093,15.7696892903462,-0.00730411246537954,-0.493815125819066,31.8
0,1,0,0,0,-0.661255588665475,0.51516358202416,0.122314632153001,-0.217102282674708,28.0852479273473,9.78051454379395,1.01296666083409,-0.696289075491439,30.46
1,1,0,0,0,-0.589411993734086,0.36320462491755,-0.0436106715904638,-0.413671079690808,32.2819619415556,9.35511521600146,1.00300906319678,-0.139485713892412,31.46
0,0,1,0,0,-0.603743488059778,2.47292606824233,1.14981480502402,-0.113751678057996,8.42577479126996,0.634428996255366,0.181124273594433,-0.831271708606355,29.4
1,0,1,0,0,-0.546603634059943,2.60127975045859,1.06839804107537,-0.268439837909154,10.3558143913871,0.824739221846744,-0.0241554315438991,0.501681793403438,30.48
0,1,1,0,0,0.0651836626744446,1.2779090269185,-0.210566567282646,-0.979735175565351,-1,-1,0.459171038390009,-0.443196638400972,19.54
1,1,1,0,0,0.0581109771630646,1.26610638947333,-0.213658343128797,-0.979735175565351,-1,-1,0.451511347899773,0.552300280821531,21.45
0,0,0,1,0,-0.603929611362709,2.13950156041617,1.19309966687014,0.43745154656447,9.83964100996045,4.40704935062563,-0.630036949321588,-0.35883249270415,29.73
1,0,0,1,0,-0.522407604678905,2.42866617782293,1.22401742533166,0.253717138356981,8.33600550754358,3.3435510311444,-0.783230759126314,-0.831271708606355,30.62
0,1,0,1,0,0.00822993197754074,0.223048305256113,0.0336837245633241,-0.167791209883728,1.85017475831258,-0.462653480683167,-0.014197833906592,-0.0213759099168607,0.19
1,1,0,1,0,0.00953279509805838,0.245178250465814,0.0501731957427989,-0.155632315222938,1.7828477955178,-0.473848199835601,-0.0555601625538679,-0.00450308077749617,0.78
0,0,1,1,0,-0.587364637401845,2.50243266185526,1.25287399989574,0.0774131657755306,8.29112086568039,1.26133326879167,-0.231733043829302,-0.831271708606355,31.28
1,0,1,1,0,-0.539344825245632,2.62488502534894,1.10549935122918,-0.222506235857282,10.5577952797715,1.04863360489542,-0.120667531720876,-0.527560784097795,32.41
0,1,1,1,0,0.00208786298081609,0.2510795691884,0.0542955635376676,-0.153605832779473,1.87261707924418,-0.451458761530733,-0.0371769053773009,-0.00450308077749617,2.01
1,1,1,1,0,0.00953279509805838,0.245178250465814,0.0501731957427989,-0.155632315222938,1.7828477955178,-0.473848199835601,-0.0555601625538679,-0.00450308077749617,2.78
0,0,0,0,1,-0.735146539929105,1.09939413556025,0.466532343024537,-0.0387718276497929,30.9354226856599,14.9300853539136,0.0899739567606213,-0.392578150982879,31.82
1,0,0,0,1,-0.719884429088758,1.12152408076995,0.431492216768153,-0.124559584423143,33.7407128021093,15.7696892903462,-0.00730411246537954,-0.493815125819066,33.8
0,1,0,0,1,-0.660883342059612,0.516638911704806,0.122314632153001,-0.216426788526887,28.1076902482789,9.78051454379395,1.01526456798116,-0.831271708606355,32.46
1,1,0,0,1,-0.589411993734086,0.36320462491755,-0.0436106715904638,-0.413671079690808,32.2819619415556,9.35511521600146,1.00300906319678,-0.139485713892412,33.46
0,0,1,0,1,0.0635085529480652,0.734987704440518,0.372748475691274,-0.98378814045228,-1,-1,0.332020176252087,-0.746907562909533,18.09
1,0,1,0,1,0.047129702290132,0.712857759230817,0.383054395178446,-0.964874304313274,-1,-1,0.321296609565756,0.586045939100261,19.64
0,1,1,0,1,0.0623918131304788,0.740889023163104,0.37790143543486,-0.983112646304459,-1,-1,0.328956300055993,-0.746907562909533,20.07
1,1,1,0,1,0.047129702290132,0.712857759230817,0.383054395178446,-0.964874304313274,-1,-1,0.321296609565756,0.586045939100261,21.64
0,0,0,1,1,0.02386428942375,-0.676902799938373,-0.0188764648212516,-0.0191824973629652,5.28384986084664,4.87722755502786,-0.251648239103917,0.586045939100261,7.25
1,0,0,1,1,0.0046935892218507,-0.671001481215786,-0.0116623211802315,-0.0185070032151434,5.73269627947854,5.21306912960088,-0.221009477142971,0.586045939100261,8.95
0,1,0,1,1,-0.000517863260218743,-0.311021039137992,0.0903662817427686,-0.0630896169713725,4.25150309799326,0.679207872865102,-0.041006750622419,0.366699160288522,0.76
1,1,0,1,1,0.00581032903943712,-0.342002962431572,0.0872745058966171,-0.0590366520844424,4.47592630730921,0.835933940999178,-0.028751245838041,-0.544433613237159,0.57
0,0,1,1,1,-0.00312358950125369,-0.403966809018734,0.355228412563082,-0.171844174770658,2.99473312582393,0.231419106767741,0.0248665875936129,0.231716527173607,6.92
1,0,1,1,1,-0.00889341189211645,-0.417244776144554,0.348014268922062,-0.127261561014429,3.46602186538743,0.567260681340762,-0.0279852767890173,0.231716527173607,8.33
0,1,1,1,1,-0.0114991381331512,-0.098573565124867,0.0831521381017484,-0.101592783397206,3.35381026072946,0.0858877577860993,0.0164409280543532,0.332953502009794,0.86
1,1,1,1,1,0.00041275325443646,-0.142833455544268,0.102733385127375,-0.0793014765190919,3.48846418631903,0.186640230158005,-0.0218575243968283,-0.527560784097795,0
