Country_Name,Disease,Model_Est_Disease,Proxy_Disease_Nat,Proxy_Disease_Gender,Proxy_Disease_Age,Proxy_Disease_Age_Gender,Rel_Diff_Nat,Rel_Diff_Gender,Rel_Diff_Age,Rel_Diff_Age_Gender
Poland,CVD,276058.063127264,499585.50586554,506894.948173834,281488.672872872,284330.924029952,0.809711696902068,0.836189613270426,0.0196719837996691,0.0299678292637791
Poland,Diabetes,80925.8473585487,102743.124841103,99912.7096768139,93168.7026933371,94754.0783402266,0.269595910264511,0.234620494415615,0.151284858106526,0.1708753313439
Poland,Cancer,12223.4459677759,17927.8135682416,16890.2949229445,10469.3234478789,11218.6142296652,0.466674259902151,0.381794869259592,-0.14350474690372,-0.0822052750721535
Poland,HIV,9834.82114963521,11489.5537456717,10851.7226208484,11682.6561175885,11101.4124996238,0.168252433964995,0.103398064463111,0.187886992537923,0.12878641418259
Poland,TB,1502.47049819005,2188.89256032445,2051.75530152017,1937.11589629627,1791.95771524604,0.456862256504404,0.365587746309703,0.289287143161758,0.192674143954723
Slovakia,CVD,39634.5762789463,71748.1676504785,72797.8316867751,40415.7271069063,40823.679626808,0.810241823843861,0.836725367629197,0.0197088224802064,0.0300016667137495
Slovakia,Diabetes,11620.734522704,14755.4940235147,14349.0355167731,13380.0350333649,13607.7325554046,0.269755710767348,0.234778704284022,0.151393227960215,0.170987301088281
Slovakia,Cancer,1755.2232186534,2574.70995134698,2425.71828234923,1503.3168892671,1610.90643112105,0.466884624123359,0.381999882732997,-0.143518115934881,-0.0822213300272259
Slovakia,HIV,1412.32354807772,1650.07675101669,1558.48174763346,1677.83600479073,1594.36104412522,0.168341881194694,0.103487759412261,0.187996905577612,0.128892204831719
Slovakia,TB,215.748513545142,314.358660415806,294.66522245819,278.195675799018,257.350016029469,0.457060608438592,0.365781008713816,0.289444229430624,0.192824051488184
Hungary,CVD,48298.5766062977,87411.1741500583,88690.0716670138,49249.2124524041,49746.4812015775,0.809808493169148,0.836287482961754,0.0196824816154617,0.0299782042663976
Hungary,Diabetes,14159.0790313143,17976.6968271974,17481.4728726345,16301.3917102714,16578.7831127371,0.26962331288921,0.234647594944019,0.151303109066568,0.170894171582161
Hungary,Cancer,2138.63586128856,3136.78282404998,2955.25324035523,1831.7394887568,1962.83793531515,0.466721324947771,0.381840309445967,-0.143500994295896,-0.0822009623777139
Hungary,HIV,1720.76435022059,2010.29727960057,1898.69907451618,2044.08992673936,1942.39135846463,0.168258326215826,0.103404469224841,0.187896487091522,0.128795676302585
Hungary,TB,262.875612426834,382.984827501749,358.990589313718,338.931241313789,313.533620490903,0.45690512697653,0.365629112566066,0.289321737322148,0.192707142349196
Romania,CVD,59678.7029589289,108008.897675668,109589.161595262,60852.9940262915,61467.4013977183,0.809839897995099,0.836319426557946,0.0196768865464572,0.0299721399779822
Romania,Diabetes,17495.0725614509,22212.7574310129,21600.8361964031,20142.6302323924,20485.3743518461,0.269657919565136,0.234681143535175,0.151331619897087,0.170922514318921
Romania,Cancer,2642.5968208869,3875.93987116555,3651.63366394517,2263.34912033897,2425.33704327827,0.466716315001362,0.381835335259209,-0.14351326602317,-0.0822145004835479
Romania,HIV,2126.23383085025,2484.00728260788,2346.11146636906,2525.76766642249,2400.10450134916,0.168266277474556,0.10341178487922,0.187906818984473,0.128805527654216
Romania,TB,324.811100251624,473.232048959293,443.583677307927,418.797426752344,387.415168576936,0.456945432568932,0.365666619657679,0.289356879823105,0.192739928767257
Belarus,CVD,407.431803697028,737.276500659827,748.06403713648,415.443790512603,419.638964694582,0.809570323106331,0.836047236245577,0.0196646082678709,0.0299612374065699
Belarus,Diabetes,119.429508934727,151.625879174509,147.44865120813,137.497367226116,139.83682715697,0.26958471592962,0.234608201300705,0.151284707209706,0.170873332765658
Belarus,Cancer,18.0399453101337,26.4574442150298,24.9262370778383,15.4511352693559,16.5569814968904,0.466603349410803,0.381724647681515,-0.143504317572598,-0.0822044517180551
Belarus,HIV,14.5140441189056,16.9560122947838,16.0146783003737,17.2409393835671,16.3831451988836,0.168248639446906,0.103391871291988,0.18787976957501,0.128778792779295
Belarus,TB,2.21734470821791,3.23031598845202,3.02792391539594,2.8587667421033,2.64454055468755,0.45683978520788,0.365563010646862,0.28927483918407,0.192660998935513
Moldova,CVD,148.517866826879,268.742192626849,272.674340030681,151.437351903624,152.966688010045,0.809494024985633,0.835969946622827,0.0196574670719492,0.0299547877855808
Moldova,Diabetes,43.5342277680083,55.2686423504122,53.7460077675525,50.1189124367796,50.9716742355003,0.269544567206659,0.234568993711392,0.151253048609494,0.17084135515452
Moldova,Cancer,6.57577354865446,9.64391454669494,9.08577671955835,5.6321472293601,6.03524795273642,0.466582520723861,0.381704624152925,-0.143500428096013,-0.0821995453338931
Moldova,HIV,5.29067006279871,6.18057935961596,5.83745523389283,6.28441888124185,5.97174876462404,0.168203514158754,0.10334894533281,0.18783042727058,0.12873203086587
Moldova,TB,0.808255705974393,1.17747168238407,1.10369807648749,1.04204011535085,0.963953109384602,0.456805901499408,0.365530819429142,0.289245603400495,0.192633843793912
Russia,CVD,4470.62381050518,8089.02964070093,8207.38954163483,4558.48873826776,4604.52850027387,0.809373810807596,0.835848841127922,0.0196538406018683,0.0299521264692504
Russia,Diabetes,1310.36563335436,1663.56343901139,1617.73126135442,1508.57016973524,1534.23644719435,0.269541413989081,0.234564781139175,0.151258955008998,0.170846066274585
Russia,Cancer,197.935145776093,290.277867639934,273.477597674729,169.532497648658,181.66632556004,0.466530193522579,0.381652543829131,-0.143494719020567,-0.0821926805988101
