Country,Country Code,Oblast pcode,Source,Oblast,Raion pcode,Raion,Municipality pcode,Municipality Name,Displacement since Start of Conflict,Date of Interview,Snapshot_Date,,,,https://displacement.iom.int/datasets/ukraine-baseline-assessment-zakarpatska-oblast-round-1
#country+name,#country+code,#adm1+code,#data+source,#adm1+name,#adm2+code,#adm2+name,#adm3+code,#adm3+name,#affected+idps+ind,#date+occurred,#date+reported,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2110,Uzhhorodskyi,UA2110025,Kholmkivska,1500,2022-04-11,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2112,Khustskyi,UA2112007,Dovzhanska,1500,2022-04-13,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2112,Khustskyi,UA2112005,Horinchivska,900,2022-04-13,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2110,Uzhhorodskyi,UA2110021,Turie-Remetivska,2235,2022-04-13,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2112,Khustskyi,UA2112003,Vyshkivska,4993,2022-04-13,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2112,Khustskyi,UA2112019,Mizhhirska,10000,2022-04-13,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2112,Khustskyi,UA2112009,Drahivska,1550,2022-04-13,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2110,Uzhhorodskyi,UA2110009,Kostrynska,1050,2022-04-13,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2102,Berehivskyi,UA2102011,Vynohradivska,6000,2022-04-14,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2104,Mukachivskyi,UA2104005,Volovetska,2600,2022-04-14,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,20200,2022-04-14,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2108,Tiachivskyi,UA2108013,Teresvianska,1400,2022-04-15,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2108,Tiachivskyi,UA2108005,Vilkhovetska,1200,2022-04-15,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2112,Khustskyi,UA2112011,Zarichanska,1167,2022-04-15,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2110,Uzhhorodskyi,UA2110007,Dubrynytska-Malobereznianska,1101,2022-04-15,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2112,Khustskyi,UA2112001,Bilkivska,2000,2022-04-15,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2110,Uzhhorodskyi,UA2110017,Stavnenska,1250,2022-04-15,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2112,Khustskyi,UA2112015,Keretskivska,1986,2022-04-15,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2104,Mukachivskyi,UA2104021,Polianska,10000,2022-04-15,2022-04-15,,,,
